CustomerID,Name,Age,Gender,Income,LoanAmount,CreditScore,LoanStatus
1001,Customer_1,52,Female,85392,355870,804,Rejected
1002,Customer_2,32,Female,93620,600876,346,Rejected
1003,Customer_3,38,Female,65977,202596,511,Approved
1004,Customer_4,27,Male,142751,367138,711,Rejected
1005,Customer_5,44,Female,110209,447470,704,Rejected
1006,Customer_6,32,Female,136846,59987,543,Rejected
1007,Customer_7,30,Male,68054,656638,615,Rejected
1008,Customer_8,34,Female,65127,576109,492,Approved
1009,Customer_9,25,Male,72731,634219,677,Rejected
1010,Customer_10,49,Female,103912,180001,344,Rejected
1011,Customer_11,21,Male,118512,722711,351,Approved
1012,Customer_12,26,Female,49405,294761,605,Rejected
1013,Customer_13,33,Male,100064,463934,629,Approved
1014,Customer_14,50,Female,73100,591278,433,Approved
1015,Customer_15,40,Female,59487,337846,740,Approved
1016,Customer_16,29,Female,54280,164069,443,Approved
1017,Customer_17,50,Male,28551,769389,596,Approved
1018,Customer_18,55,Female,144112,770262,726,Rejected
1019,Customer_19,29,Female,54214,588671,849,Rejected
1020,Customer_20,40,Female,110925,159372,602,Approved
1021,Customer_21,31,Female,113543,616918,499,Approved
1022,Customer_22,33,Male,142471,714673,592,Approved
1023,Customer_23,52,Male,96660,787717,343,Approved
1024,Customer_24,44,Male,48835,765436,878,Approved
1025,Customer_25,21,Male,136249,717362,370,Rejected
1026,Customer_26,30,Male,35583,733687,853,Approved
1027,Customer_27,29,Female,101995,429260,751,Approved
1028,Customer_28,57,Male,124904,285424,500,Approved
1029,Customer_29,40,Female,128555,179614,375,Approved
1030,Customer_30,56,Male,97644,559205,881,Approved
1031,Customer_31,49,Female,67311,532906,792,Rejected
1032,Customer_32,28,Female,54161,484068,576,Rejected
1033,Customer_33,31,Male,129435,738129,881,Approved
1034,Customer_34,59,Female,23890,798358,397,Approved
1035,Customer_35,30,Female,66831,742633,391,Rejected
1036,Customer_36,39,Female,121014,377264,683,Approved
1037,Customer_37,28,Male,91781,367344,827,Approved
1038,Customer_38,36,Male,115803,209135,470,Rejected
1039,Customer_39,21,Male,138594,762873,687,Approved
1040,Customer_40,33,Male,96134,638522,756,Rejected
1041,Customer_41,38,Female,49306,368031,452,Rejected
1042,Customer_42,32,Female,119329,274855,649,Rejected
1043,Customer_43,36,Male,145474,605030,840,Approved
1044,Customer_44,54,Female,23621,51374,395,Approved
1045,Customer_45,50,Female,82905,692350,727,Rejected
1046,Customer_46,45,Female,58947,211255,878,Rejected
1047,Customer_47,57,Female,61770,679575,382,Approved
1048,Customer_48,40,Male,29331,614376,682,Approved
1049,Customer_49,56,Male,56709,517241,388,Approved
1050,Customer_50,51,Male,123084,742900,378,Rejected
1051,Customer_51,31,Female,129810,501231,481,Rejected
1052,Customer_52,41,Male,60044,677199,602,Approved
1053,Customer_53,48,Female,26321,745639,826,Approved
1054,Customer_54,29,Male,78015,522214,583,Approved
1055,Customer_55,43,Male,136815,154928,624,Approved
1056,Customer_56,47,Female,74357,570579,577,Approved
1057,Customer_57,44,Female,33827,687324,466,Rejected
1058,Customer_58,58,Male,32599,514711,726,Approved
1059,Customer_59,43,Male,130409,646489,714,Approved
1060,Customer_60,30,Male,30461,176450,672,Approved
1061,Customer_61,23,Male,45054,438775,772,Rejected
1062,Customer_62,39,Female,98435,185015,507,Rejected
1063,Customer_63,49,Male,148040,401936,612,Approved
1064,Customer_64,32,Male,140502,318478,465,Rejected
1065,Customer_65,31,Male,143864,686248,899,Rejected
1066,Customer_66,51,Male,43902,373677,750,Approved
1067,Customer_67,56,Male,59783,227107,669,Rejected
1068,Customer_68,49,Female,119286,355375,453,Approved
1069,Customer_69,24,Male,38165,375631,586,Approved
1070,Customer_70,40,Female,116401,735764,597,Rejected
1071,Customer_71,41,Male,69397,93461,601,Approved
1072,Customer_72,35,Female,107799,518845,582,Rejected
1073,Customer_73,26,Female,100452,630660,515,Rejected
1074,Customer_74,26,Female,107441,595287,877,Rejected
1075,Customer_75,27,Female,61362,677624,645,Approved
1076,Customer_76,45,Male,36828,344906,370,Rejected
1077,Customer_77,58,Female,127347,244633,456,Approved
1078,Customer_78,28,Male,92274,587430,861,Rejected
1079,Customer_79,58,Male,56487,226281,469,Approved
1080,Customer_80,25,Male,78947,148233,311,Approved
1081,Customer_81,44,Male,21788,130876,642,Rejected
1082,Customer_82,56,Male,136642,738800,651,Approved
1083,Customer_83,36,Female,112411,512035,319,Approved
1084,Customer_84,55,Female,67692,103626,685,Approved
1085,Customer_85,24,Female,146847,63153,747,Approved
1086,Customer_86,39,Female,125054,610871,515,Rejected
1087,Customer_87,34,Male,45593,429258,370,Rejected
1088,Customer_88,24,Male,78487,440888,433,Approved
1089,Customer_89,58,Male,147764,584427,555,Rejected
1090,Customer_90,50,Male,44005,209151,838,Approved
1091,Customer_91,43,Male,74261,472925,617,Rejected
1092,Customer_92,42,Female,124265,401942,515,Approved
1093,Customer_93,42,Female,58971,712799,804,Approved
1094,Customer_94,38,Female,116802,387116,395,Rejected
1095,Customer_95,44,Male,90134,320738,687,Approved
1096,Customer_96,51,Male,65509,493614,644,Approved
1097,Customer_97,57,Male,144539,689920,615,Approved
1098,Customer_98,28,Male,36373,147256,722,Rejected
1099,Customer_99,41,Female,43928,326460,459,Rejected
1100,Customer_100,48,Male,85049,535026,805,Approved
